name,government_form,capital,life_expectancy
Denmark,"Constitutional Monarchy",3315,76.5
Spain,"Constitutional Monarchy",653,78.8
"United Kingdom","Constitutional Monarchy",456,77.7
Jamaica,"Constitutional Monarchy",1530,75.2
Jordan,"Constitutional Monarchy",1786,77.4
Japan,"Constitutional Monarchy",1532,80.7
Liechtenstein,"Constitutional Monarchy",2446,78.8
Luxembourg,"Constitutional Monarchy",2452,77.1
Monaco,"Constitutional Monarchy",2695,78.8
Norway,"Constitutional Monarchy",2807,78.7
"New Zealand","Constitutional Monarchy",3499,77.8
Sweden,"Constitutional Monarchy",3048,79.6
