film_id,title,description,release_year
19,"AMADEUS HOLY","A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon",2006
54,"BANGER PINOCCHIO","A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station",2006
85,"BONNIE HOLOCAUST","A Fast-Paced Story of a Crocodile And a Robot who must Find a Moose in Ancient Japan",2006
146,"CHITTY LOCK","A Boring Epistle of a Boat And a Database Administrator who must Kill a Sumo Wrestler in The First Manned Space Station",2006
171,"COMMANDMENTS EXPRESS","A Fanciful Saga of a Student And a Mad Scientist who must Battle a Hunter in An Abandoned Mine Shaft",2006
172,"CONEHEADS SMOOCHY","A Touching Story of a Womanizer And a Composer who must Pursue a Husband in Nigeria",2006
202,"DADDY PITTSBURGH","A Epic Story of a A Shark And a Student who must Confront a Explorer in The Gulf of Mexico",2006
203,"DAISY MENAGERIE","A Fast-Paced Saga of a Pastry Chef And a Monkey who must Sink a Composer in Ancient India",2006
286,"ENOUGH RAGING","A Astounding Character Study of a Boat And a Secret Agent who must Find a Mad Cow in The Sahara Desert",2006
288,"ESCAPE METROPOLIS","A Taut Yarn of a Astronaut And a Technical Writer who must Outgun a Boat in New Orleans",2006
316,"FIRE WOLVES","A Intrepid Documentary of a Frisbee And a Dog who must Outrace a Lumberjack in Nigeria",2006
340,"FRONTIER CABIN","A Emotional Story of a Madman And a Waitress who must Battle a Teacher in An Abandoned Fun House",2006
369,"GOODFELLAS SALUTE","A Unbelieveable Tale of a Dog And a Explorer who must Sink a Mad Cow in A Baloon Factory",2006
375,"GRAIL FRANKENSTEIN","A Unbelieveable Saga of a Teacher And a Monkey who must Fight a Girl in An Abandoned Mine Shaft",2006
383,"GROOVE FICTION","A Unbelieveable Reflection of a Moose And a A Shark who must Defeat a Lumberjack in An Abandoned Mine Shaft",2006
392,"HALL CASSIDY","A Beautiful Panorama of a Pastry Chef And a A Shark who must Battle a Pioneer in Soviet Georgia",2006
411,"HEAVENLY GUN","A Beautiful Yarn of a Forensic Psychologist And a Frisbee who must Battle a Moose in A Jet Boat",2006
503,"KRAMER CHOCOLATE","A Amazing Yarn of a Robot And a Pastry Chef who must Redeem a Mad Scientist in The Outback",2006
535,"LOVE SUICIDES","A Brilliant Panorama of a Hunter And a Explorer who must Pursue a Dentist in An Abandoned Fun House",2006
571,"METAL ARMAGEDDON","A Thrilling Display of a Lumberjack And a Crocodile who must Meet a Monkey in A Baloon Factory",2006
650,"PACIFIC AMISTAD","A Thrilling Yarn of a Dog And a Moose who must Kill a Pastry Chef in A Manhattan Penthouse",2006
665,"PATTON INTERVIEW","A Thrilling Documentary of a Composer And a Secret Agent who must Succumb a Cat in Berlin",2006
687,"POCUS PULP","A Intrepid Yarn of a Frisbee And a Dog who must Build a Astronaut in A Baloon Factory",2006
730,"RIDGEMONT SUBMARINE","A Unbelieveable Drama of a Waitress And a Composer who must Sink a Mad Cow in Ancient Japan",2006
732,"RINGS HEARTBREAKERS","A Amazing Yarn of a Sumo Wrestler And a Boat who must Conquer a Waitress in New Orleans",2006
811,"SMILE EARRING","A Intrepid Drama of a Teacher And a Butler who must Build a Pastry Chef in Berlin",2006
817,"SOLDIERS EVOLUTION","A Lacklusture Panorama of a A Shark And a Pioneer who must Confront a Student in The First Manned Space Station",2006
841,"STAR OPERATION","A Insightful Character Study of a Girl And a Car who must Pursue a Mad Cow in A Shark Tank",2006
865,"SUNRISE LEAGUE","A Beautiful Epistle of a Madman And a Butler who must Face a Crocodile in A Manhattan Penthouse",2006
